ClientAccountID,AccountAlias,Model,CurrencyPrimary,FXRateToBase,AssetClass,Fee Type,ExpenseIndicator,Revenue,Expense,Net,RevenueInBase,ExpenseInBase,NetInBase,Date,Description,TradeID,LevelOfDetail,ExecID,SettleDate,Buy/Sell,Quantity,TradePrice,Proceeds,Exchange,Symbol,UnderlyingSymbol,Multiplier,Expiration,Strike,Put/Call,SecurityID,UnderlyingSecurityID,file_name
U3079071,U3079071 Alter Castro,,AUD,,,Commissions,Default,15,-6,9,10.11075,-4.0443,6.06645,,,,SUMMARY,,,,,,,,,,,,,,,,732383
U3079071,U3079071 Alter Castro,,AUD,0.67405,,Commissions,Default,15,-6,9,10.11075,-4.0443,6.06645,09/04/2024;20:26:00,Commission,6646730902,DETAIL,,,,,,,,,,,,,,,,732383
U3079071,U3079071 Alter Castro,,EUR,,,Commissions,Default,16,-4,12,17.736,-4.434,13.302,,,,SUMMARY,,,,,,,,,,,,,,,,732383
U3079071,U3079071 Alter Castro,,EUR,1.1085,,Commissions,Default,16,-4,12,17.736,-4.434,13.302,09/06/2024;11:53:26,Commission,6655209314,DETAIL,,,,,,,,,,,,,,,,732383
U3079071,U3079071 Alter Castro,,GBP,,,Commissions,Default,12,-3,9,15.75,-3.9375,11.8125,,,,SUMMARY,,,,,,,,,,,,,,,,732383
U3079071,U3079071 Alter Castro,,GBP,1.3125,,Commissions,Default,12,-3,9,15.75,-3.9375,11.8125,09/12/2024;03:00:12,Commission,6671279201,DETAIL,,,,,,,,,,,,,,,,732383
U10193364,U10193364 Horacio Ortega / Irene Anglada 00102,,USD,,,Commissions,Default,11.05,-11.05,0,11.05,-11.05,0,,,,SUMMARY,,,,,,,,,,,,,,,,732383
U10193364,U10193364 Horacio Ortega / Irene Anglada 00102,,USD,1,,Commissions,Default,6.05,-6.05,0,6.05,-6.05,0,09/03/2024;12:18:55,Commission,6639838493,DETAIL,,,,,,,,,,,,,,,,732383
U10193364,U10193364 Horacio Ortega / Irene Anglada 00102,,USD,1,,Commissions,Default,5,-5,0,5,-5,0,09/05/2024;13:25:35,Commission,6650296611,DETAIL,,,,,,,,,,,,,,,,732383
U10365379,U10365379 Marcia Arias Pena,,USD,,,Commissions,Default,50,-3.4808962,46.5191038,50,-3.4808962,46.5191038,,,,SUMMARY,,,,,,,,,,,,,,,,732383
U10365379,U10365379 Marcia Arias Pena,,USD,1,,Commissions,Default,10,-0.2565,9.7435,10,-0.2565,9.7435,09/04/2024;10:34:06,Commission,6643885423,DETAIL,,,,,,,,,,,,,,,,732383
U10365379,U10365379 Marcia Arias Pena,,USD,1,,Commissions,Default,10,-1.04815,8.95185,10,-1.04815,8.95185,09/04/2024;10:45:55,Commission,6644040337,DETAIL,,,,,,,,,,,,,,,,732383
U10365379,U10365379 Marcia Arias Pena,,USD,1,,Commissions,Default,10,-1.04815,8.95185,10,-1.04815,8.95185,09/04/2024;10:48:08,Commission,6644067941,DETAIL,,,,,,,,,,,,,,,,732383
U10365379,U10365379 Marcia Arias Pena,,USD,1,,Commissions,Default,10,-0.062534,9.937466,10,-0.062534,9.937466,09/11/2024;12:40:50,Commission,6669095516,DETAIL,,,,,,,,,,,,,,,,732383
U10365379,U10365379 Marcia Arias Pena,,USD,1,,Commissions,Default,10,-1.0655622,8.9344378,10,-1.0655622,8.9344378,09/12/2024;11:44:56,Commission,6673597200,DETAIL,,,,,,,,,,,,,,,,732383
U10400768,U10400768 Ricardo de Leon / Juan Carlos de Leon,,USD,,,Commissions,Default,150,-10.000000002,139.999999998,150,-10.000000002,139.999999998,,,,SUMMARY,,,,,,,,,,,,,,,,732383
U10400768,U10400768 Ricardo de Leon / Juan Carlos de Leon,,USD,1,,Commissions,Default,25,-1.666666667,23.333333333,25,-1.666666667,23.333333333,09/06/2024;11:13:03,Commission,6654747171,DETAIL,,,,,,,,,,,,,,,,732383
U10400768,U10400768 Ricardo de Leon / Juan Carlos de Leon,,USD,1,,Commissions,Default,0,0,0,0,0,0,09/06/2024;11:13:03,Commission,6654747204,DETAIL,,,,,,,,,,,,,,,,732383
U10400768,U10400768 Ricardo de Leon / Juan Carlos de Leon,,USD,1,,Commissions,Default,25,-1.666666667,23.333333333,25,-1.666666667,23.333333333,09/06/2024;11:16:05,Commission,6654786032,DETAIL,,,,,,,,,,,,,,,,732383
U10400768,U10400768 Ricardo de Leon / Juan Carlos de Leon,,USD,1,,Commissions,Default,25,-1.666666667,23.333333333,25,-1.666666667,23.333333333,09/06/2024;11:30:45,Commission,6654960726,DETAIL,,,,,,,,,,,,,,,,732383
U10400768,U10400768 Ricardo de Leon / Juan Carlos de Leon,,USD,1,,Commissions,Default,25,-1.666666667,23.333333333,25,-1.666666667,23.333333333,09/06/2024;14:44:48,Commission,6656502356,DETAIL,,,,,,,,,,,,,,,,732383
U10400768,U10400768 Ricardo de Leon / Juan Carlos de Leon,,USD,1,,Commissions,Default,25,-1.666666667,23.333333333,25,-1.666666667,23.333333333,09/06/2024;15:17:08,Commission,6656701389,DETAIL,,,,,,,,,,,,,,,,732383
U10400768,U10400768 Ricardo de Leon / Juan Carlos de Leon,,USD,1,,Commissions,Default,25,-1.666666667,23.333333333,25,-1.666666667,23.333333333,09/06/2024;15:50:18,Commission,6656976942,DETAIL,,,,,,,,,,,,,,,,732383
U10731361,U10731361 Francisco Eugenin / Maria del Pilar Gonzalez 06101,,USD,,,Commissions,Default,5,-5,0,5,-5,0,,,,SUMMARY,,,,,,,,,,,,,,,,732383
U10731361,U10731361 Francisco Eugenin / Maria del Pilar Gonzalez 06101,,USD,1,,Commissions,Default,5,-5,0,5,-5,0,09/13/2024;13:11:16,Commission,6678647872,DETAIL,,,,,,,,,,,,,,,,732383
U11063719,U11063719 Oscar Segreda Constenla / Andres Segreda Constenla,,USD,,,Commissions,Default,1.000105,-1.000105,0,1.000105,-1.000105,0,,,,SUMMARY,,,,,,,,,,,,,,,,732383
U11063719,U11063719 Oscar Segreda Constenla / Andres Segreda Constenla,,USD,1,,Commissions,Default,1.000105,-1.000105,0,1.000105,-1.000105,0,09/06/2024;10:44:31,Commission,6654281415,DETAIL,,,,,,,,,,,,,,,,732383
U1112729,U1112729 Mauricio Odio,,USD,,,Commissions,Default,25,-1.666666667,23.333333333,25,-1.666666667,23.333333333,,,,SUMMARY,,,,,,,,,,,,,,,,732383
U1112729,U1112729 Mauricio Odio,,USD,1,,Commissions,Default,25,-1.666666667,23.333333333,25,-1.666666667,23.333333333,09/06/2024;12:59:05,Commission,6655865336,DETAIL,,,,,,,,,,,,,,,,732383
U11158548,U11158548 Pedro Veintimilla Torres / Maria Perez Pineda,,USD,,,Commissions,Default,86.05,-11.55,74.5,86.05,-11.55,74.5,,,,SUMMARY,,,,,,,,,,,,,,,,732383
U11158548,U11158548 Pedro Veintimilla Torres / Maria Perez Pineda,,USD,1,,Commissions,Default,86.05,-11.55,74.5,86.05,-11.55,74.5,09/04/2024;12:29:30,Commission,6644899506,DETAIL,,,,,,,,,,,,,,,,732383
U11553579,U11553579 Horacio J Ortega Lascaris Comneno,,USD,,,Commissions,Default,55.7,-55.7,0,55.7,-55.7,0,,,,SUMMARY,,,,,,,,,,,,,,,,732383
U11553579,U11553579 Horacio J Ortega Lascaris Comneno,,USD,1,,Commissions,Default,13.05,-13.05,0,13.05,-13.05,0,09/03/2024;11:17:19,Commission,6639336816,DETAIL,,,,,,,,,,,,,,,,732383
U11553579,U11553579 Horacio J Ortega Lascaris Comneno,,USD,1,,Commissions,Default,8.05,-8.05,0,8.05,-8.05,0,09/05/2024;10:28:29,Commission,6648832323,DETAIL,,,,,,,,,,,,,,,,732383
U11553579,U11553579 Horacio J Ortega Lascaris Comneno,,USD,1,,Commissions,Default,10,-10,0,10,-10,0,09/06/2024;12:51:39,Commission,6655808081,DETAIL,,,,,,,,,,,,,,,,732383
U11553579,U11553579 Horacio J Ortega Lascaris Comneno,,USD,1,,Commissions,Default,10.5,-10.5,0,10.5,-10.5,0,09/09/2024;07:15:49,Commission,6658227868,DETAIL,,,,,,,,,,,,,,,,732383
U11553579,U11553579 Horacio J Ortega Lascaris Comneno,,USD,1,,Commissions,Default,7.05,-7.05,0,7.05,-7.05,0,09/09/2024;12:06:15,Commission,6660427656,DETAIL,,,,,,,,,,,,,,,,732383
U11553579,U11553579 Horacio J Ortega Lascaris Comneno,,USD,1,,Commissions,Default,7.05,-7.05,0,7.05,-7.05,0,09/09/2024;12:57:51,Commission,6660814334,DETAIL,,,,,,,,,,,,,,,,732383
U11645481,U11645481 Mr. Wijbrand J Tuinstra and Mrs. Maria S Rodriguez,,USD,,,Commissions,Default,31.1,-31.1,0,31.1,-31.1,0,,,,SUMMARY,,,,,,,,,,,,,,,,732383
U11645481,U11645481 Mr. Wijbrand J Tuinstra and Mrs. Maria S Rodriguez,,USD,1,,Commissions,Default,11.05,-11.05,0,11.05,-11.05,0,09/04/2024;12:28:47,Commission,6644889735,DETAIL,,,,,,,,,,,,,,,,732383
U11645481,U11645481 Mr. Wijbrand J Tuinstra and Mrs. Maria S Rodriguez,,USD,1,,Commissions,Default,20.05,-20.05,0,20.05,-20.05,0,09/13/2024;14:51:36,Commission,6679213531,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,,,Commissions,Default,290,-49.360868212,240.639131788,290,-49.360868212,240.639131788,,,,SUMMARY,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,0,0,0,0,0,0,08/30/2024;16:20:00,Commission,6635998037,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,0,0,0,0,0,0,08/30/2024;16:20:00,Commission,6636003559,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,0,0,0,0,0,0,08/30/2024;16:20:00,Commission,6635962826,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,10,-2.0634368,7.9365632,10,-2.0634368,7.9365632,09/03/2024;10:32:53,Commission,6638695524,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,10,-2.56675,7.43325,10,-2.56675,7.43325,09/09/2024;10:58:49,Commission,6659899678,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,10,-1.000156,8.999844,10,-1.000156,8.999844,09/09/2024;11:01:40,Commission,6659933418,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,10,-1.05585,8.94415,10,-1.05585,8.94415,09/09/2024;11:02:07,Commission,6659933686,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,10,-1.54005,8.45995,10,-1.54005,8.45995,09/09/2024;12:57:17,Commission,6660809021,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,0,-1.2567,-1.2567,0,-1.2567,-1.2567,09/09/2024;13:00:20,Commission,6660828378,DETAIL,,,,,,,,,,,,,,,,732383
U11958842,U11958842 Federico Pozuelo Navarro,,USD,1,,Commissions,Default,10,-1.03335,8.96665,10,-1.03335,8.96665,09/09/2024;13:00:20,Commission,6660828363,DETAIL,,,,,,,,,,,,,,,,732383
