,AccountAlias,AccruedInterest,AllocatedTo,Amount,AssetClass,BlockID,BrokerClearingCommission,BrokerExecutionCommission,BrokerageOrderID,Buy/Sell,CUSIP,ClearingFirmID,ClientAccountID,Code,Commission,CommissionCurrency,CommodityType,Conid,CurrencyPrimary,Date/Time,DeliveryType,Description,Exchange,ExecID,Expiry,ExtExecID,FIGI,Fineness,ISIN,IsAPIOrder,Issuer,IssuerCountryCode,LevelOfDetail,ListingExchange,Model,Multiplier,NetCash,NetCashWithBillable,OrderID,OrderReference,OrderTime,OrderType,OrigTradeDate,OrigTradeID,OrigTradePrice,OtherCommission,Price,PrincipalAdjustFactor,Proceeds,Put/Call,Quantity,RFQID,ReportDate,SecurityID,SecurityIDType,SerialNumber,SettleDate,Strike,SubCategory,Symbol,Tax,ThirdPartyClearingCommission,ThirdPartyExecutionCommission,ThirdPartyRegulatoryCommission,TradeDate,TradeID,TraderID,TransactionType,UnderlyingConid,UnderlyingListingExchange,UnderlyingSecurityID,UnderlyingSymbol,VolatilityOrderLink,Weight
0,U1213465 Acobo Puesto de Bolsa  S. A.,0,,8328.88,STK,0,0,-14.98,000bfaff.000311d3.66c810f1.0001,BUY,808524797,,U1213465,O;P,-15,USD,,96079912,USD,2024-08-23;13:37:58,,SCHWAB US DVD EQUITY ETF,DARK,0001506d.66c889a5.01.01,,4543446,BBG0025RWKW5,0.0,US8085247976,N,,US,EXECUTION,ARCA,,1,-8343.88,-8343.88,3439575586,,2024-08-23;13:37:58,LMT,,,0,0,83.2888,,-8328.88,,100,,2024-08-23,US8085247976,ISIN,,2024-08-26,,ETF,SCHD,0,-0.02,0,0,2024-08-23,6612254889,C1,ExchTrade,,,,,35085693.0,0.0
1,U1213465 Acobo Puesto de Bolsa  S. A.,0,,38146.82,STK,0,0,1.4656,000bfaff.000311d3.66c810f1.0001,BUY,808524797,,U1213465,O;P,0,USD,,96079912,USD,2024-08-23;13:37:58,,SCHWAB US DVD EQUITY ETF,MEMX,0001b950.66c89dcd.01.01,,1210851674,BBG0025RWKW5,0.0,US8085247976,N,,US,EXECUTION,ARCA,,1,-38146.82,-38146.82,3439575586,,2024-08-23;13:37:58,LMT,,,0,0,83.29,,-38146.82,,458,,2024-08-23,US8085247976,ISIN,,2024-08-26,,ETF,SCHD,0,-0.0916,-1.374,0,2024-08-23,6612254893,C1,ExchTrade,,,,,35085693.0,0.0
2,U1213465 Acobo Puesto de Bolsa  S. A.,0,,133264,STK,0,0,-8.0656,000bfaff.000311d3.66c810f1.0001,BUY,808524797,,U1213465,D;O;P,-8.3856,USD,,96079912,USD,2024-08-23;13:37:58,,SCHWAB US DVD EQUITY ETF,IBKRATS,0000d958.66c8c317.01.01,,377474600B,BBG0025RWKW5,0.0,US8085247976,N,,US,EXECUTION,ARCA,,1,-133272.3856,-133272.3856,3439575586,,2024-08-23;13:37:58,LMT,,,0,0,83.29,,-133264,,1600,,2024-08-23,US8085247976,ISIN,,2024-08-26,,ETF,SCHD,0,-0.32,0,0,2024-08-23,6612254921,C1,ExchTrade,,,,,35085693.0,0.0
3,U1213465 Acobo Puesto de Bolsa  S. A.,0,,24987,STK,0,0,-3,000bfaff.000311d3.66c810f1.0001,BUY,808524797,,U1213465,O;P,-3.96,USD,,96079912,USD,2024-08-23;13:37:58,,SCHWAB US DVD EQUITY ETF,ISLAND,00013800.66c8d7aa.01.01,,0358941141,BBG0025RWKW5,0.0,US8085247976,N,,US,EXECUTION,ARCA,,1,-24990.96,-24990.96,3439575586,,2024-08-23;13:37:58,LMT,,,0,0,83.29,,-24987,,300,,2024-08-23,US8085247976,ISIN,,2024-08-26,,ETF,SCHD,0,-0.06,-0.9,0,2024-08-23,6612254925,C1,ExchTrade,,,,,35085693.0,0.0
4,U1213465 Acobo Puesto de Bolsa  S. A.,0,,8329,STK,0,0,-1,000bfaff.000311d3.66c810f1.0001,BUY,808524797,,U1213465,O;P,-1.32,USD,,96079912,USD,2024-08-23;13:37:58,,SCHWAB US DVD EQUITY ETF,ARCA,0001035c.66c8b3af.01.01,,0d.a468.13.01.000e0c:196547,BBG0025RWKW5,0.0,US8085247976,N,,US,EXECUTION,ARCA,,1,-8330.32,-8330.32,3439575586,,2024-08-23;13:37:58,LMT,,,0,0,83.29,,-8329,,100,,2024-08-23,US8085247976,ISIN,,2024-08-26,,ETF,SCHD,0,-0.02,-0.3,0,2024-08-23,6612254938,C1,ExchTrade,,,,,35085693.0,0.0
5,U1213465 Acobo Puesto de Bolsa  S. A.,0,,66632,STK,0,0,-8,000bfaff.000311d3.66c810f1.0001,BUY,808524797,,U1213465,O;P,-8.16,USD,,96079912,USD,2024-08-23;13:37:58,,SCHWAB US DVD EQUITY ETF,DARK,0000e494.66c925bc.01.01,,2408230003119630095,BBG0025RWKW5,0.0,US8085247976,N,,US,EXECUTION,ARCA,,1,-66640.16,-66640.16,3439575586,,2024-08-23;13:37:58,LMT,,,0,0,83.29,,-66632,,800,,2024-08-23,US8085247976,ISIN,,2024-08-26,,ETF,SCHD,0,-0.16,0,0,2024-08-23,6612254948,C1,ExchTrade,,,,,35085693.0,0.0
6,U1213465 Acobo Puesto de Bolsa  S. A.,0,,16658,STK,0,0,-2,000bfaff.000311d3.66c810f1.0001,BUY,808524797,,U1213465,O;P,-2.64,USD,,96079912,USD,2024-08-23;13:37:58,,SCHWAB US DVD EQUITY ETF,ARCA,0001035c.66c8b3ac.01.01,,0d.a468.13.01.000e0c:196544,BBG0025RWKW5,0.0,US8085247976,N,,US,EXECUTION,ARCA,,1,-16660.64,-16660.64,3439575586,,2024-08-23;13:37:58,LMT,,,0,0,83.29,,-16658,,200,,2024-08-23,US8085247976,ISIN,,2024-08-26,,ETF,SCHD,0,-0.04,-0.6,0,2024-08-23,6612254961,C1,ExchTrade,,,,,35085693.0,0.0
7,U1213465 Acobo Puesto de Bolsa  S. A.,0,,83290,STK,0,0,-10,000bfaff.000311d3.66c810f1.0001,BUY,808524797,,U1213465,D;O;P,-10.2,USD,,96079912,USD,2024-08-23;13:37:58,,SCHWAB US DVD EQUITY ETF,IBKRATS,0001a2f2.66c89f61.01.01,,376788500B,BBG0025RWKW5,0.0,US8085247976,N,,US,EXECUTION,ARCA,,1,-83300.2,-83300.2,3439575586,,2024-08-23;13:37:58,LMT,,,0,0,83.29,,-83290,,1000,,2024-08-23,US8085247976,ISIN,,2024-08-26,,ETF,SCHD,0,-0.2,0,0,2024-08-23,6612254965,C1,ExchTrade,,,,,35085693.0,0.0
8,U1213465 Acobo Puesto de Bolsa  S. A.,0,,8329,STK,0,0,-1,000bfaff.000311d3.66c810f1.0001,BUY,808524797,,U1213465,O;P,-1.32,USD,,96079912,USD,2024-08-23;13:37:58,,SCHWAB US DVD EQUITY ETF,ARCA,0001035c.66c8b3ae.01.01,,0d.a468.13.01.000e0c:196546,BBG0025RWKW5,0.0,US8085247976,N,,US,EXECUTION,ARCA,,1,-8330.32,-8330.32,3439575586,,2024-08-23;13:37:58,LMT,,,0,0,83.29,,-8329,,100,,2024-08-23,US8085247976,ISIN,,2024-08-26,,ETF,SCHD,0,-0.02,-0.3,0,2024-08-23,6612254983,C1,ExchTrade,,,,,35085693.0,0.0
9,U1213465 Acobo Puesto de Bolsa  S. A.,0,,8329,STK,0,0,-1,000bfaff.000311d3.66c810f1.0001,BUY,808524797,,U1213465,O;P,-1.315,USD,,96079912,USD,2024-08-23;13:37:58,,SCHWAB US DVD EQUITY ETF,PEARL,0001c38b.66c8a49d.01.01,,2329343421012080091B,BBG0025RWKW5,0.0,US8085247976,N,,US,EXECUTION,ARCA,,1,-8330.315,-8330.315,3439575586,,2024-08-23;13:37:58,LMT,,,0,0,83.29,,-8329,,100,,2024-08-23,US8085247976,ISIN,,2024-08-26,,ETF,SCHD,0,-0.02,-0.295,0,2024-08-23,6612254999,C1,ExchTrade,,,,,35085693.0,0.0
